compiler_bytecode_is_stable	212
compiler_compile_to_bytecode	243
compiler_compile_error	264
compiler_locals_direct_reference	279
compiler_basic_function	287
compiler_basic_function_call	303
compiler_function_call_optimization	319
compiler_reflection_bytecode	348
compiler_import_call	377
compiler_import_call_redirect_local	389
compiler_import_call_redirect_local_polyfill	408
compiler_fake_import_call	431
compiler_assignment_local	447
compiler_assignment_global	456
compiler_assignment_table	465
compiler_concat_chain_optimization	479
compiler_repeat_locals	509
compiler_for_bytecode	525
compiler_for_bytecode_builtin	611
compiler_table_literals	681
compiler_table_literals_constant_pack_flag	794
compiler_table_literals_number_index	813
compiler_dump_constants_tables	881
compiler_table_literals_index_constant	915
compiler_table_size_prediction_basic	950
compiler_table_size_prediction_object	1067
compiler_table_size_prediction_set_metatable	1092
compiler_table_size_prediction_loop	1116
compiler_reflection_enums	1140
compiler_capture_self	1148
compiler_conditional_basic	1184
compiler_conditional_compare	1203
compiler_conditional_not	1254
compiler_conditional_and_or	1273
compiler_and_or	1325
compiler_and_or_fold_left	1400
compiler_and_or_chain_codegen	1427
compiler_if_else_expression	1457
compiler_unary_basic	1547
compiler_interp_string_with_no_expressions	1568
compiler_interp_string_zero_cost	1573
compiler_interp_string_register_cleanup	1589
compiler_interp_string_register_limit	1615
compiler_interp_string_const_fold	1623
compiler_constant_fold_arith	1666
compiler_constant_fold_vector_arith	1710
compiler_constant_fold_vector_arith4_wide	1775
compiler_constant_fold_vector_components	1829
compiler_constant_fold_string_len	1868
compiler_constant_fold_compare	1879
compiler_constant_fold_local	1939
compiler_constant_fold_and_or	2000
compiler_constant_fold_conditional_and_or	2070
compiler_constant_fold_flow_control	2109
compiler_terminating_constant_fold_flow_control	2178
compiler_loop_break	2288
compiler_loop_continue	2312
compiler_loop_continue_until	2342
compiler_loop_continue_ignores_implicit_constant	2495
compiler_loop_continue_ignores_explicit_constant	2512
compiler_loop_continue_respects_explicit_constant	2529
compiler_loop_continue_ignores_implicit_constant_after_inline	2554
compiler_loop_continue_correctly_handles_implicit_constant_after_unroll	2582
compiler_loop_continue_until_capture	2616
compiler_loop_continue_early_cleanup	2705
compiler_and_or_optimizations	2751
compiler_jump_fold	2875
compiler_recursion_parse_table_constructor	2972
compiler_recursion_parse_function_name_index	2979
compiler_recursion_parse_binary_op	2986
compiler_recursion_parse_group_expr	2993
compiler_recursion_parse_do_block	3000
compiler_recursion_parse_function_arguments	3007
compiler_recursion_parse_return_table_constructor	3014
compiler_recursion_parse_while	3023
compiler_recursion_parse_for	3033
compiler_recursion_parse_function_statement	3043
compiler_recursion_parse_function_expr	3052
compiler_recursion_parse_type_annotation_group	3062
compiler_recursion_parse_type_annotation_function	3072
compiler_recursion_parse_type_annotation_table	3079
compiler_recursion_parse_type_annotation_intersection_group	3089
compiler_array_index_literal	3099
compiler_nested_function_calls	3125
compiler_upvalues_loops_bytecode	3141
compiler_type_aliasing	3302
compiler_type_function	3310
compiler_no_type_functions_in_bytecode	3318
compiler_debug_line_info	3343
compiler_debug_line_info_for	3399
compiler_debug_line_info_while	3430
compiler_debug_line_info_repeat_until	3459
compiler_debug_line_info_sub_table	3492
compiler_debug_line_info_call	3523
compiler_debug_line_info_call_chain	3547
